dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
dataset1,2,4,400,KNN,6,4,0.975,0.0010020732879638672
dataset1,2,4,400,KNN,6,5,0.975,0.002000570297241211
dataset1,2,4,400,KNN,6,6,0.95,0.007034778594970703
dataset1,2,4,400,KNN,6,7,0.95,0.0020017623901367188
dataset1,2,4,400,KNN,6,8,0.95,0.002131938934326172
dataset1,2,4,400,KNN,6,9,1.0,0.0021915435791015625
dataset1,2,4,400,KNN,7,0,0.975,0.0010001659393310547
dataset1,2,4,400,KNN,7,1,0.975,0.0010030269622802734
dataset1,2,4,400,KNN,7,2,0.925,0.002009868621826172
dataset1,2,4,400,KNN,7,3,0.925,0.004677772521972656
dataset1,2,4,400,KNN,7,4,0.925,0.0020046234130859375
dataset1,2,4,400,KNN,7,5,1.0,0.0020017623901367188
dataset1,2,4,400,KNN,7,6,1.0,0.0010037422180175781
dataset1,2,4,400,KNN,7,7,0.975,0.002851247787475586
dataset1,2,4,400,KNN,7,8,0.975,0.0019974708557128906
dataset1,2,4,400,KNN,7,9,0.975,0.0010013580322265625
dataset1,2,4,400,KNN,8,0,1.0,0.0
dataset1,2,4,400,KNN,8,1,0.975,0.002012491226196289
dataset1,2,4,400,KNN,8,2,1.0,0.0020143985748291016
dataset1,2,4,400,KNN,8,3,0.875,0.0017631053924560547
dataset1,2,4,400,KNN,8,4,1.0,0.0020151138305664062
dataset1,2,4,400,KNN,8,5,0.975,0.0020194053649902344
dataset1,2,4,400,KNN,8,6,0.975,0.0017600059509277344
dataset1,2,4,400,KNN,8,7,0.975,0.0020170211791992188
dataset1,2,4,400,KNN,8,8,0.95,0.0020127296447753906
dataset1,2,4,400,KNN,8,9,0.925,0.0017559528350830078
dataset1,2,4,400,KNN,9,0,1.0,0.0
dataset1,2,4,400,KNN,9,1,0.975,0.002019166946411133
dataset1,2,4,400,KNN,9,2,0.95,0.0037925243377685547
dataset1,2,4,400,KNN,9,3,0.95,0.0020210742950439453
dataset1,2,4,400,KNN,9,4,0.975,0.0020170211791992188
dataset1,2,4,400,KNN,9,5,1.0,0.003780841827392578
dataset1,2,4,400,KNN,9,6,0.925,0.0
dataset1,2,4,400,KNN,9,7,0.975,0.002014636993408203
dataset1,2,4,400,KNN,9,8,1.0,0.0020263195037841797
dataset1,2,4,400,KNN,9,9,0.925,0.00201416015625
dataset1,2,4,400,XGBoost,0,0,1.0,0.12386035919189453
dataset1,2,4,400,XGBoost,0,1,1.0,0.05519413948059082
dataset1,2,4,400,XGBoost,0,2,0.975,0.10542035102844238
dataset1,2,4,400,XGBoost,0,3,0.975,0.06596231460571289
dataset1,2,4,400,XGBoost,0,4,1.0,0.0679769515991211
