Unnamed: 0,dataset,n_classes,n_features,n_samples,classifier,mc,test_fold,acc,exec_time
3,dataset3,2,3.000000,700,sdsa_svc,3,3,0.957143,0.318252
4,dataset3,2,3.000000,700,sdsa_svc,3,4,0.957143,0.299902
5,dataset3,2,3.000000,700,sdsa_svc,3,5,0.942857,0.309623
6,dataset3,2,3.000000,700,sdsa_svc,3,6,0.942857,0.344650
7,dataset3,2,3.000000,700,sdsa_svc,3,7,0.928571,0.381894
8,dataset3,2,3.000000,700,sdsa_svc,3,8,0.957143,0.310093
9,dataset3,2,3.000000,700,sdsa_svc,3,9,0.957143,0.415320
0,dataset2,2,2.000000,700,sdsa_svc,6,0,0.971429,0.315342
1,dataset2,2,2.000000,700,sdsa_svc,6,1,0.942857,0.327157
2,dataset2,2,2.000000,700,sdsa_svc,6,2,0.971429,0.318834
3,dataset2,2,2.000000,700,sdsa_svc,6,3,0.914286,0.287149
4,dataset2,2,2.000000,700,sdsa_svc,6,4,0.928571,0.317131
5,dataset2,2,2.000000,700,sdsa_svc,6,5,0.942857,0.370109
6,dataset2,2,2.000000,700,sdsa_svc,6,6,0.971429,0.297704
7,dataset2,2,2.000000,700,sdsa_svc,6,7,0.928571,0.314740
8,dataset2,2,2.000000,700,sdsa_svc,6,8,0.957143,0.331571
9,dataset2,2,2.000000,700,sdsa_svc,6,9,0.928571,0.305193
0,dataset4,2,2.000000,700,sdsa_svc,4,0,0.714286,0.370144
1,dataset4,2,2.000000,700,sdsa_svc,4,1,0.800000,0.288517
2,dataset4,2,2.000000,700,sdsa_svc,4,2,0.742857,0.321428
3,dataset4,2,2.000000,700,sdsa_svc,4,3,0.657143,0.309351
4,dataset4,2,2.000000,700,sdsa_svc,4,4,0.771429,0.280243
5,dataset4,2,2.000000,700,sdsa_svc,4,5,0.742857,0.324796
6,dataset4,2,2.000000,700,sdsa_svc,4,6,0.800000,0.266406
7,dataset4,2,2.000000,700,sdsa_svc,4,7,0.628571,0.276496
8,dataset4,2,2.000000,700,sdsa_svc,4,8,0.700000,0.274919
9,dataset4,2,2.000000,700,sdsa_svc,4,9,0.671429,0.329189
0,dataset2,2,2.000000,700,sdsa_svc,8,0,0.971429,0.282363
1,dataset2,2,2.000000,700,sdsa_svc,8,1,0.914286,0.154975
2,dataset2,2,2.000000,700,sdsa_svc,8,2,0.928571,0.149777
3,dataset2,2,2.000000,700,sdsa_svc,8,3,0.985714,0.133198
4,dataset2,2,2.000000,700,sdsa_svc,8,4,1.000000,0.124811
5,dataset2,2,2.000000,700,sdsa_svc,8,5,0.942857,0.150028
6,dataset2,2,2.000000,700,sdsa_svc,8,6,0.928571,0.162695
7,dataset2,2,2.000000,700,sdsa_svc,8,7,0.942857,0.159757
8,dataset2,2,2.000000,700,sdsa_svc,8,8,0.900000,0.129107
9,dataset2,2,2.000000,700,sdsa_svc,8,9,0.957143,0.149993
0,dataset3,2,3.000000,700,sdsa_svc,8,0,0.971429,0.300057
1,dataset3,2,3.000000,700,sdsa_svc,8,1,0.957143,0.223196
2,dataset3,2,3.000000,700,sdsa_svc,8,2,0.900000,0.183599
3,dataset3,2,3.000000,700,sdsa_svc,8,3,0.914286,0.170398
4,dataset3,2,3.000000,700,sdsa_svc,8,4,0.914286,0.149604
5,dataset3,2,3.000000,700,sdsa_svc,8,5,0.971429,0.160198
6,dataset3,2,3.000000,700,sdsa_svc,8,6,0.942857,0.132547
7,dataset3,2,3.000000,700,sdsa_svc,8,7,1.000000,0.134504
8,dataset3,2,3.000000,700,sdsa_svc,8,8,0.928571,0.139977
9,dataset3,2,3.000000,700,sdsa_svc,8,9,0.971429,0.130964
0,dry-climates,3,16.000000,522,sdsa_svc,8,0,0.886792,1.108063
1,dry-climates,3,16.000000,522,sdsa_svc,8,1,0.962264,1.188137
2,dry-climates,3,16.000000,522,sdsa_svc,8,2,1.000000,0.797870
3,dry-climates,3,16.000000,522,sdsa_svc,8,3,0.923077,0.760895
4,dry-climates,3,16.000000,522,sdsa_svc,8,4,0.923077,0.772949
5,dry-climates,3,16.000000,522,sdsa_svc,8,5,0.923077,0.786946
6,dry-climates,3,16.000000,522,sdsa_svc,8,6,0.942308,0.790354
7,dry-climates,3,16.000000,522,sdsa_svc,8,7,0.961538,0.737705
8,dry-climates,3,16.000000,522,sdsa_svc,8,8,0.923077,0.734500
9,dry-climates,3,16.000000,522,sdsa_svc,8,9,0.903846,0.807544
0,dataset1,2,2.000000,400,sdsa_svc,4,0,0.900000,0.054197
1,dataset1,2,2.000000,400,sdsa_svc,4,1,0.875000,0.052982
2,dataset1,2,2.000000,400,sdsa_svc,4,2,0.850000,0.039382
3,dataset1,2,2.000000,400,sdsa_svc,4,3,0.925000,0.039253
4,dataset1,2,2.000000,400,sdsa_svc,4,4,0.950000,0.044155
5,dataset1,2,2.000000,400,sdsa_svc,4,5,0.900000,0.035010
6,dataset1,2,2.000000,400,sdsa_svc,4,6,0.875000,0.031533
7,dataset1,2,2.000000,400,sdsa_svc,4,7,0.950000,0.034044
8,dataset1,2,2.000000,400,sdsa_svc,4,8,0.950000,0.036897
9,dataset1,2,2.000000,400,sdsa_svc,4,9,0.950000,0.039788
0,dry-climates,3,16.000000,522,sdsa_svc,2,0,0.981132,1.671659
1,dry-climates,3,16.000000,522,sdsa_svc,2,1,0.849057,1.548117
2,dry-climates,3,16.000000,522,sdsa_svc,2,2,1.000000,1.065469
3,dry-climates,3,16.000000,522,sdsa_svc,2,3,0.942308,0.957069
4,dry-climates,3,16.000000,522,sdsa_svc,2,4,0.942308,1.499896
